season,date,batting_team
,2015-04-25,Chennai Super Kings
,,Kings XI Punjab
,,Mumbai Indians
,,Sunrisers Hyderabad
,2015-04-26,Delhi Daredevils
,,Royal Challengers Bangalore
,2015-04-27,Kings XI Punjab
,,Sunrisers Hyderabad
,2015-04-28,Chennai Super Kings
,,Kolkata Knight Riders
,2015-04-29,Royal Challengers Bangalore
,2015-04-30,Chennai Super Kings
,,Kolkata Knight Riders
,2015-05-01,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2015-05-02,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-05-03,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,2015-05-04,Chennai Super Kings
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-05-05,Delhi Daredevils
,,Mumbai Indians
,2015-05-06,Kings XI Punjab
,,Royal Challengers Bangalore
,2015-05-07,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Sunrisers Hyderabad
,2015-05-08,Chennai Super Kings
,,Mumbai Indians
,2015-05-09,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2015-05-10,Chennai Super Kings
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2015-05-11,Kings XI Punjab
,,Sunrisers Hyderabad
,2015-05-12,Chennai Super Kings
,,Delhi Daredevils
,2015-05-13,Kings XI Punjab
,,Royal Challengers Bangalore
,2015-05-14,Kolkata Knight Riders
,,Mumbai Indians
,2015-05-15,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-05-16,Chennai Super Kings
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2015-05-17,Delhi Daredevils
,,Mumbai Indians
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2015-05-19,Chennai Super Kings
,,Mumbai Indians
,2015-05-20,Rajasthan Royals
,,Royal Challengers Bangalore
,2015-05-22,Chennai Super Kings
,,Royal Challengers Bangalore
,2015-05-24,Chennai Super Kings
,,Mumbai Indians
2016,2016-04-09,Mumbai Indians
,,Rising Pune Supergiants
,2016-04-10,Delhi Daredevils
,,Kolkata Knight Riders
,2016-04-11,Gujarat Lions
,,Kings XI Punjab
,2016-04-12,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2016-04-13,Kolkata Knight Riders
,,Mumbai Indians
,2016-04-14,Gujarat Lions
,,Rising Pune Supergiants
,2016-04-15,Delhi Daredevils
,,Kings XI Punjab
,2016-04-16,Gujarat Lions
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2016-04-17,Delhi Daredevils
,,Kings XI Punjab
,,Rising Pune Supergiants
,,Royal Challengers Bangalore
,2016-04-18,Mumbai Indians
,,Sunrisers Hyderabad
,2016-04-19,Kings XI Punjab
,,Kolkata Knight Riders
,2016-04-20,Mumbai Indians
,,Royal Challengers Bangalore
,2016-04-21,Gujarat Lions
,,Sunrisers Hyderabad
,2016-04-22,Rising Pune Supergiants
,,Royal Challengers Bangalore
,2016-04-23,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Sunrisers Hyderabad
,2016-04-24,Gujarat Lions
,,Kolkata Knight Riders
,,Rising Pune Supergiants
,,Royal Challengers Bangalore
,2016-04-25,Kings XI Punjab
,,Mumbai Indians
,2016-04-26,Rising Pune Supergiants
,,Sunrisers Hyderabad
,2016-04-27,Delhi Daredevils
,,Gujarat Lions
,2016-04-28,Kolkata Knight Riders
,,Mumbai Indians
,2016-04-29,Gujarat Lions
,,Rising Pune Supergiants
,2016-04-30,Delhi Daredevils
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2016-05-01,Gujarat Lions
,,Kings XI Punjab
,,Mumbai Indians
,,Rising Pune Supergiants
,2016-05-02,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2016-05-03,Delhi Daredevils
,,Gujarat Lions
,2016-05-04,Kings XI Punjab
,,Kolkata Knight Riders
,2016-05-05,Delhi Daredevils
,,Rising Pune Supergiants
,2016-05-06,Gujarat Lions
,,Sunrisers Hyderabad
,2016-05-07,Delhi Daredevils
,,Kings XI Punjab
,,Rising Pune Supergiants
,,Royal Challengers Bangalore
,2016-05-08,Gujarat Lions
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2016-05-09,Kings XI Punjab
,,Royal Challengers Bangalore
,2016-05-10,Rising Pune Supergiants
,,Sunrisers Hyderabad
,2016-05-11,Mumbai Indians
,,Royal Challengers Bangalore
,2016-05-12,Delhi Daredevils
,,Sunrisers Hyderabad
,2016-05-13,Kings XI Punjab
,,Mumbai Indians
,2016-05-14,Gujarat Lions
,,Kolkata Knight Riders
,,Rising Pune Supergiants
,,Royal Challengers Bangalore
,2016-05-15,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,,Sunrisers Hyderabad
,2016-05-16,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2016-05-17,Delhi Daredevils
,,Rising Pune Supergiants
,2016-05-18,Kings XI Punjab
,,Royal Challengers Bangalore
,2016-05-19,Gujarat Lions
,,Kolkata Knight Riders
,2016-05-20,Delhi Daredevils
,,Sunrisers Hyderabad
,2016-05-21,Gujarat Lions
,,Kings XI Punjab
,,Mumbai Indians
,,Rising Pune Supergiants
,2016-05-22,Delhi Daredevils
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2016-05-24,Gujarat Lions
,,Royal Challengers Bangalore
,2016-05-25,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2016-05-27,Gujarat Lions
,,Sunrisers Hyderabad
,2016-05-29,Royal Challengers Bangalore
,,Sunrisers Hyderabad
2017,2017-04-05,Royal Challengers Bangalore
,,Sunrisers Hyderabad
,2017-04-06,Mumbai Indians
,,Rising Pune Supergiant
,2017-04-07,Gujarat Lions
,,Kolkata Knight Riders
,2017-04-08,Delhi Daredevils
,,Kings XI Punjab
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-04-09,Gujarat Lions
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2017-04-10,Kings XI Punjab
,,Royal Challengers Bangalore
,2017-04-11,Delhi Daredevils
,,Rising Pune Supergiant
,2017-04-12,Mumbai Indians
,,Sunrisers Hyderabad
,2017-04-13,Kings XI Punjab
,,Kolkata Knight Riders
,2017-04-14,Gujarat Lions
,,Mumbai Indians
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-04-15,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2017-04-16,Gujarat Lions
,,Mumbai Indians
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-04-17,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2017-04-18,Gujarat Lions
,,Royal Challengers Bangalore
,2017-04-19,Delhi Daredevils
,,Sunrisers Hyderabad
,2017-04-20,Kings XI Punjab
,,Mumbai Indians
,2017-04-21,Gujarat Lions
,,Kolkata Knight Riders
,2017-04-22,Delhi Daredevils
,,Mumbai Indians
,,Rising Pune Supergiant
,,Sunrisers Hyderabad
,2017-04-23,Gujarat Lions
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2017-04-24,Mumbai Indians
,,Rising Pune Supergiant
,2017-04-26,Kolkata Knight Riders
,,Rising Pune Supergiant
,2017-04-27,Gujarat Lions
,,Royal Challengers Bangalore
,2017-04-28,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2017-04-29,Gujarat Lions
,,Mumbai Indians
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-04-30,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2017-05-01,Gujarat Lions
,,Mumbai Indians
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-05-02,Delhi Daredevils
,,Sunrisers Hyderabad
,2017-05-03,Kolkata Knight Riders
,,Rising Pune Supergiant
,2017-05-04,Delhi Daredevils
,,Gujarat Lions
,2017-05-05,Kings XI Punjab
,,Royal Challengers Bangalore
,2017-05-06,Delhi Daredevils
,,Mumbai Indians
,,Rising Pune Supergiant
,,Sunrisers Hyderabad
,2017-05-07,Gujarat Lions
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2017-05-08,Mumbai Indians
,,Sunrisers Hyderabad
,2017-05-09,Kings XI Punjab
,,Kolkata Knight Riders
,2017-05-10,Delhi Daredevils
,,Gujarat Lions
,2017-05-11,Kings XI Punjab
,,Mumbai Indians
,2017-05-12,Delhi Daredevils
,,Rising Pune Supergiant
,2017-05-13,Gujarat Lions
,,Kolkata Knight Riders
,,Mumbai Indians
,,Sunrisers Hyderabad
,2017-05-14,Delhi Daredevils
,,Kings XI Punjab
,,Rising Pune Supergiant
,,Royal Challengers Bangalore
,2017-05-16,Mumbai Indians
,,Rising Pune Supergiant
,2017-05-17,Kolkata Knight Riders
,,Sunrisers Hyderabad
,2017-05-19,Kolkata Knight Riders
,,Mumbai Indians
,2017-05-21,Mumbai Indians
,,Rising Pune Supergiant
